[2023-09-28 15:09:58.101554] [gNB 1][rsc 0][Rx 0][sfn 76][slot 3] DL PRS ToA ==> 2.0 / 2048 samples, peak channel power -51.8 dBm, SNR +4.0 dB, rsrp -72.3 dBm

[2023-09-28 15:09:58.102040] [gNB 2][rsc 0][Rx 0][sfn 76][slot 4] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -77.3 dBm

[2023-09-28 15:09:58.102564] [gNB 3][rsc 0][Rx 0][sfn 76][slot 5] DL PRS ToA ==> 1.5 / 2048 samples, peak channel power -54.9 dBm, SNR +4.0 dB, rsrp -75.7 dBm

[2023-09-28 15:09:58.111053] [gNB 0][rsc 0][Rx 0][sfn 77][slot 2] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -76.0 dBm

[2023-09-28 15:09:58.111570] [gNB 1][rsc 0][Rx 0][sfn 77][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -72.7 dBm

[2023-09-28 15:09:58.112059] [gNB 2][rsc 0][Rx 0][sfn 77][slot 4] DL PRS ToA ==> 1.0 / 2048 samples, peak channel power -58.5 dBm, SNR +4.0 dB, rsrp -77.6 dBm

[2023-09-28 15:09:58.112583] [gNB 3][rsc 0][Rx 0][sfn 77][slot 5] DL PRS ToA ==> 1.5 / 2048 samples, peak channel power -55.0 dBm, SNR +4.0 dB, rsrp -76.2 dBm

[2023-09-28 15:09:58.121059] [gNB 0][rsc 0][Rx 0][sfn 78][slot 2] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -74.6 dBm

[2023-09-28 15:09:58.121584] [gNB 1][rsc 0][Rx 0][sfn 78][slot 3] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -72.5 dBm

[2023-09-28 15:09:58.122067] [gNB 2][rsc 0][Rx 0][sfn 78][slot 4] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -76.6 dBm

[2023-09-28 15:09:58.122560] [gNB 3][rsc 0][Rx 0][sfn 78][slot 5] DL PRS ToA ==> 1.5 / 2048 samples, peak channel power -55.0 dBm, SNR +4.0 dB, rsrp -75.1 dBm

[2023-09-28 15:09:58.131068] [gNB 0][rsc 0][Rx 0][sfn 79][slot 2] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -75.6 dBm

[2023-09-28 15:09:58.131554] [gNB 1][rsc 0][Rx 0][sfn 79][slot 3] DL PRS ToA ==> 2.0 / 2048 samples, peak channel power -51.8 dBm, SNR +4.0 dB, rsrp -72.3 dBm

[2023-09-28 15:09:58.132074] [gNB 2][rsc 0][Rx 0][sfn 79][slot 4] DL PRS ToA ==> 0.0 / 2048 samples, peak channel power -inf dBm, SNR +4.0 dB, rsrp -77.4 dBm

[2023-09-28 15:09:58.132567] [gNB 3][rsc 0][Rx 0][sfn 79][slot 5] DL PRS ToA ==> 1.5 / 2048 samples, peak channel power -55.0 dBm, SNR +4.0 dB, rsrp -75.8 dBm

